,Comdty,DM Equity,EM Equity,Fixed Income,High Yield,Large cap,REITs,Small cap
1990-12-31,0.19114816297405013,-0.23195631774046155,-0.10550444854068008,0.08960221550856007,,-0.031048206425766445,-0.15351169218973826,-0.19476848851443795
1991-12-31,-0.08196692567774888,0.12496831902676031,0.5991052512197828,0.16003142401626658,0.4618958079858422,0.30465413595190816,0.35695813321574543,0.46043953587158204
1992-12-31,0.037041752878136824,-0.11849344800532957,0.11403686143612934,0.07401653221790672,0.18014678066126955,0.07620457435940198,0.14589719043395033,0.1840977282468923
1993-12-31,-0.010661373495948312,0.32944911425606294,0.7483684830752977,0.09749448266908978,0.24631362995255812,0.1007787980936885,0.19654641190131295,0.1887912087912087
1994-12-31,0.1661013092849608,0.08061348877197871,-0.07316419372032779,-0.029166244212376236,-0.061574074074074114,0.013199577613516311,0.03170698898902735,-0.018237577893054024
1995-12-31,0.15212629151700585,0.11551133765149735,-0.05208596290321221,0.18474552670055,0.20539384969577368,0.37578599965259674,0.15266938603189972,0.28450861801586247
1996-12-31,0.2316485512824462,0.06360800429146529,0.060309448350908124,0.03630300002938336,0.17844474761255102,0.22960961567597593,0.3526664763515517,0.16494265709902445
1997-12-31,-0.03388728820444875,0.020579618941382716,-0.11585066657795606,0.09654507563406445,0.12842478968897142,0.3336276825136051,0.20259863338801898,0.2236305317088012
1998-12-31,-0.27030191681923155,0.20333187156307764,-0.2533980491200345,0.08686826896970778,-0.04821831612064842,0.2857901787776598,-0.17502011516136828,-0.025452413750546854
1999-12-31,0.24345721479485083,0.2729826432941822,0.6640805321775938,-0.00821973211524274,0.10434032768036805,0.21041191370111556,-0.04620052738678648,0.21256071935166476
2000-12-31,0.3184154801542882,-0.13958013578243222,-0.3060991176653185,0.11625787106446772,0.010378709005726128,-0.09104086276837842,0.26365288964072,-0.030209777464690668
2001-12-31,-0.19508211792317642,-0.21205395282379147,-0.02372031414686515,0.08444363261271337,0.022637256480437795,-0.11886010983089956,0.13932873122275624,0.024860911608990843
2002-12-31,0.2590514837782092,-0.15657189033815888,-0.06000174345700693,0.1025493673645308,0.041343913344669136,-0.22100334778687813,0.03820983991792759,-0.204835909061174
2003-12-31,0.23931569201871938,0.3916544150504486,0.5627771714188561,0.04104172470501544,0.3242115448580327,0.2868424808512662,0.3713352664620928,0.4725378726535667
2004-12-31,0.09147940357116702,0.2069768609756284,0.25951933537731176,0.04338593280618763,0.13173338204735918,0.10882102850382624,0.3157754274171034,0.18329399809519176
2005-12-31,0.2136334049981261,0.14015336342704154,0.3454223671891514,0.024290560105898917,0.03587425850449932,0.04911783501430911,0.12162638665688918,0.04553809160186173
2006-12-31,0.02071509832601981,0.26857480425893976,0.32551829161529944,0.04333392565788419,0.1369497467861318,0.15794463807112513,0.35060872129578624,0.18367208337229846
2007-12-31,0.16230339815873385,0.11631745006706184,0.39822142620537715,0.06966734019245813,0.03164242517688565,0.05493726356621065,-0.15691743285568172,-0.015659231475632196
2008-12-31,-0.35649195868379946,-0.43058140751626994,-0.531834801359812,0.05239921835420125,-0.2687568501112624,-0.36997610819389215,-0.3772763644137678,-0.33787103218381753
2009-12-31,0.18905838875311876,0.3246044362819316,0.7902144577914283,0.059308163124957014,0.5939501294454286,0.26464232129829734,0.27990214734397134,0.2717172625014692
2010-12-31,0.16832134472027782,0.08209345091535769,0.19195728463556727,0.06541412934806612,0.14823046674645224,0.15063401360544226,0.2796045522473847,0.2685487509853486
2011-12-31,-0.13320154771482218,-0.11733453096096413,-0.1817334467484173,0.07841691548351726,0.03123138773079215,0.021118200436080148,0.08293146280870967,-0.041756520010010845
2012-12-31,-0.010569414709776681,0.17898068597418848,0.18627155811059093,0.0421518937275045,0.19604374977439254,0.16003223804274325,0.18059775617450202,0.16349850357514062
2013-12-31,-0.0952332114286859,0.23294373825919013,-0.022667911007016484,-0.020239754065029758,0.07325305325848586,0.3238847806296019,0.024673117497816976,0.3882233526472523
2014-12-31,-0.17008134319957813,-0.04483205577594296,-0.01816305290191711,0.059660442929399204,0.00010498343230191942,0.1368836315708517,0.3013895149544068,0.048943608479190104
2015-12-31,-0.2465717894464321,-0.003930668221404643,-0.14598741183520736,0.005499067821836512,-0.02719347821400675,0.013837599218982088,0.03196263941016686,-0.04414094354916198
2016-12-31,0.11766652875465455,0.015121795610357536,0.11604125109126628,0.026472421315051342,0.14274235427527593,0.11959912078710477,0.08518658969738113,0.21307991592274278
2017-12-31,0.01704233654361853,0.2561617850576654,0.37752138871803176,0.035418469213760684,0.10433525280543643,0.2183160148270722,0.052260005746787686,0.14647238274525431
2018-12-31,-0.1124545169629223,-0.1335745646250518,-0.14245662623034938,0.00011239414182195873,-0.040595003515693895,-0.04384241745255868,-0.04622673176595038,-0.11013950582228471
